date,Mkt-RF,SMB,HML,RF
1963-07-31,-0.004037,-0.004712,-0.008504,0.002643
1963-08-31,0.050919,-0.007408,0.015473,0.002423
1963-09-30,-0.01577,-0.004145,0.000667,0.002804
1963-10-31,0.025173,-0.013304,0.000174,0.002994
1963-11-30,-0.008503,-0.008932,0.017984,0.002703
1963-12-31,0.018303,-0.018419,-0.00214,0.002944
1964-01-31,0.02212,0.000625,0.016706,0.002864
1964-02-29,0.015524,0.00299,0.028002,0.002663
1964-03-31,0.014193,0.013446,0.032626,0.003155
1964-04-30,0.001184,-0.015128,-0.00493,0.002864
1964-05-31,0.014545,-0.006818,0.019123,0.002603
1964-06-30,0.012529,0.000879,0.006971,0.003085
1964-07-31,0.017511,0.004992,0.006883,0.002864
1964-08-31,-0.014517,0.003169,-0.00074,0.002734
1964-09-30,0.026955,-0.003411,0.014443,0.002734
1964-10-31,0.006047,0.009102,0.011516,0.002864
1964-11-30,-0.0003,-0.002627,-0.020563,0.002854
1964-12-31,0.000335,-0.005801,-0.024741,0.003085
1965-01-31,0.035224,0.024133,0.001972,0.002804
1965-02-28,0.004554,0.03257,0.001456,0.003044
1965-03-31,-0.013222,0.020265,0.010513,0.003686
1965-04-30,0.031095,0.011646,0.006768,0.003155
1965-05-31,-0.007741,0.00026,-0.01571,0.003205
1965-06-30,-0.055078,-0.044172,0.004068,0.003526
1965-07-31,0.014298,0.010417,0.021552,0.003155
1965-08-31,0.027296,0.026497,-0.009101,0.003305
1965-09-30,0.028653,0.005794,-0.00116,0.003155
1965-10-31,0.026018,0.033352,0.014955,0.003155
1965-11-30,-0.00016,0.052085,0.001859,0.003405
1965-12-31,0.010031,0.026095,0.019567,0.003305
1966-01-31,0.007187,0.048016,0.030986,0.003787
1966-02-28,-0.012218,0.049695,0.003547,0.003426
1966-03-31,-0.024983,0.002353,-0.021597,0.003917
1966-04-30,0.021022,0.033317,-0.002409,0.003405
1966-05-31,-0.056806,-0.05355,-0.016337,0.004208
1966-06-30,-0.014611,0.013681,0.00525,0.003747
1966-07-31,-0.016208,-0.005047,0.009707,0.003606
1966-08-31,-0.079324,-0.032526,0.005111,0.004148
1966-09-30,-0.010532,-0.011319,0.003845,0.003998
1966-10-31,0.038595,-0.062544,0.02774,0.00463
1966-11-30,0.014179,0.033376,-0.043519,0.004008
1966-12-31,0.00134,0.019304,-0.010959,0.003998
1967-01-31,0.081812,0.083662,0.020299,0.004208
1967-02-28,0.008057,0.030485,-0.021029,0.003616
1967-03-31,0.040114,0.018318,0.002722,0.003967
1967-04-30,0.038749,0.004151,-0.023518,0.003205
1967-05-31,-0.043781,0.025447,0.006053,0.003305
1967-06-30,0.024203,0.063973,0.008806,0.002643
1967-07-31,0.045946,0.033333,0.024924,0.003205
1967-08-31,-0.008932,0.007465,0.014866,0.003225
1967-09-30,0.030898,0.023778,-0.023194,0.003205
1967-10-31,-0.031137,0.005071,-0.034489,0.003967
1967-11-30,0.003698,-0.000733,-0.017334,0.003606
1967-12-31,0.030719,0.054708,-0.003368,0.003405
1968-01-31,-0.040391,0.047558,0.048856,0.003967
1968-02-29,-0.037593,-0.029932,0.01107,0.003807
1968-03-31,0.002004,-0.014577,-0.00719,0.003787
1968-04-30,0.090312,0.057405,-0.008754,0.004208
1968-05-31,0.022458,0.069107,0.008467,0.004409
1968-06-30,0.006566,-0.002778,0.006078,0.004259
1968-07-31,-0.027003,-0.013416,0.055267,0.004771
1968-08-31,0.013387,0.022803,0.009798,0.004148
1968-09-30,0.041156,0.026688,0.002626,0.004259
1968-10-31,0.004114,-0.004356,0.028757,0.004329
1968-11-30,0.054701,0.023007,-0.008506,0.004259
1968-12-31,-0.039342,0.037486,0.000558,0.004329
1969-01-31,-0.012637,-0.004758,0.017275,0.005293
1969-02-28,-0.058562,-0.04296,0.008973,0.00469
1969-03-31,0.026879,-0.004571,-0.003678,0.00461
1969-04-30,0.014489,-0.007507,0.000321,0.005263
1969-05-31,-0.000703,-0.00183,0.00447,0.004841
1969-06-30,-0.072485,-0.058508,-0.010915,0.005052
1969-07-31,-0.070123,-0.035437,0.013867,0.005263
1969-08-31,0.047172,0.005348,-0.036888,0.005052
1969-09-30,-0.0293,0.013647,-0.032787,0.006319
1969-10-31,0.050803,0.036855,-0.029528,0.005997
1969-11-30,-0.037944,-0.024268,-0.012679,0.005142
1969-12-31,-0.026484,-0.037116,-0.030967,0.006399
1970-01-31,-0.080482,0.033267,0.032837,0.006108
1970-02-28,0.051862,-0.022818,0.035825,0.006098
1970-03-31,-0.010517,-0.023975,0.044117,0.005685
1970-04-30,-0.109899,-0.069962,0.075201,0.005072
1970-05-31,-0.069348,-0.044908,0.031873,0.005263
1970-06-30,-0.05803,-0.022561,0.006196,0.005736
1970-07-31,0.069085,-0.006639,0.008217,0.005293
1970-08-31,0.045059,0.01464,0.009376,0.005263
1970-09-30,0.042178,0.082299,-0.050272,0.005263
1970-10-31,-0.022659,-0.045668,0.002977,0.00463
1970-11-30,0.046249,-0.038277,0.01484,0.00461
1970-12-31,0.057424,0.02798,0.008493,0.004188
1971-01-31,0.048419,0.072195,0.013047,0.003807
1971-02-28,0.014071,0.020295,-0.012779,0.003235
1971-03-31,0.041607,0.020327,-0.037557,0.002994
1971-04-30,0.031525,-0.00355,0.006762,0.002734
1971-05-31,-0.040067,-0.011962,-0.015118,0.003004
1971-06-30,-8.1e-05,-0.01488,-0.019943,0.003747
1971-07-31,-0.045325,-0.015439,0.001383,0.003998
1971-08-31,0.035067,-0.001327,0.02618,0.00463
1971-09-30,-0.008453,0.002372,-0.028921,0.003576
1971-10-31,-0.044109,-0.017406,-0.004714,0.003576
1971-11-30,-0.004658,-0.029115,-0.016606,0.003787
1971-12-31,0.087222,0.030553,-0.004847,0.003747
1972-01-31,0.024904,0.061997,0.019004,0.002944
1972-02-29,0.028841,0.009408,-0.026348,0.002403
1972-03-31,0.006245,-0.005161,-0.017021,0.002643
1972-04-30,0.002611,0.001961,0.001866,0.002804
1972-05-31,0.012609,-0.031106,-0.026809,0.003085
1972-06-30,-0.024247,-0.003321,-0.025903,0.002864
1972-07-31,-0.007982,-0.028243,0.008353,0.003205
1972-08-31,0.032833,-0.033785,0.047157,0.002764
1972-09-30,-0.011115,-0.022669,0.004439,0.003405
