portfolio,alpha_%mo,alpha_t,beta_MKT,s_SMB,h_HML,t_HML,R2_CAPM,R2_FF3,dR2
SMALL LoBM,-0.253,-2.398,1.019,1.363,-0.39,-8.754,0.702,0.941,0.239
ME1 BM2,0.01,0.126,0.953,1.248,-0.005,-0.138,0.701,0.958,0.257
ME1 BM3,0.009,0.13,0.932,1.117,0.196,6.832,0.707,0.962,0.255
ME1 BM4,0.139,2.221,0.889,1.063,0.31,11.711,0.69,0.964,0.274
SMALL HiBM,0.116,1.641,0.947,1.153,0.55,18.409,0.642,0.96,0.317
ME2 BM1,-0.032,-0.387,1.089,0.971,-0.552,-15.613,0.805,0.958,0.153
ME2 BM2,0.054,0.778,1.008,0.913,-0.037,-1.247,0.8,0.961,0.16
ME2 BM3,0.198,2.935,0.955,0.813,0.178,6.287,0.79,0.956,0.166
ME2 BM4,0.178,2.723,0.964,0.673,0.431,15.668,0.783,0.952,0.169
ME2 BM5,0.108,1.477,1.067,0.819,0.654,21.288,0.73,0.953,0.224
ME3 BM1,0.029,0.385,1.095,0.674,-0.489,-15.229,0.861,0.959,0.097
ME3 BM2,0.158,2.149,1.013,0.612,-0.001,-0.047,0.859,0.947,0.088
ME3 BM3,0.019,0.249,0.96,0.529,0.279,8.91,0.83,0.934,0.103
ME3 BM4,0.152,2.216,0.977,0.433,0.492,17.052,0.816,0.939,0.122
ME3 BM5,0.081,0.939,1.062,0.63,0.665,18.254,0.743,0.926,0.184
ME4 BM1,0.16,2.083,1.058,0.283,-0.475,-14.72,0.899,0.946,0.048
ME4 BM2,-0.131,-1.58,1.066,0.272,0.006,0.17,0.907,0.926,0.019
ME4 BM3,0.024,0.281,1.042,0.25,0.292,8.232,0.873,0.913,0.04
ME4 BM4,0.081,0.972,1.034,0.224,0.561,15.883,0.815,0.907,0.092
ME4 BM5,0.033,0.328,1.152,0.357,0.731,17.014,0.767,0.897,0.13
BIG LoBM,0.21,3.105,0.958,-0.208,-0.438,-15.341,0.878,0.939,0.061
ME5 BM2,-0.037,-0.498,1.021,-0.169,-0.005,-0.15,0.911,0.921,0.01
ME5 BM3,-0.088,-0.934,0.963,-0.233,0.22,5.564,0.82,0.852,0.032
ME5 BM4,-0.091,-1.188,1.011,-0.169,0.586,18.237,0.799,0.902,0.103
BIG HiBM,-0.214,-1.907,1.025,-0.008,0.778,16.439,0.682,0.824,0.142
