date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1963-07-31,0.011411,-0.00162,0.005711,0.00067,-0.014351,-0.017782,0.001752,-0.008456,-0.019677,-0.011952,-0.023115,-0.013,-0.007066,-0.022089,-0.017957,-0.008508,-0.017371,-0.020009,-0.016836,-0.018591,0.001572,0.004249,0.012463,-0.004525,-0.01097
1963-08-31,0.042446,0.014594,0.013344,0.023671,0.042038,0.055588,0.04509,0.043519,0.04409,0.082302,0.052501,0.050152,0.05487,0.048316,0.051778,0.05405,0.047915,0.062071,0.076062,0.053447,0.057712,0.04235,0.047744,0.081643,0.06407
1963-09-30,-0.017295,0.006996,-0.010832,-0.015887,-0.003326,-0.040597,-0.014773,-0.006313,-0.014538,-0.029036,-0.044887,-0.015246,-0.004806,-0.008661,-0.018296,-0.026894,-0.02041,-0.018879,-0.035822,-0.019824,-0.013614,-0.007591,-0.009839,-0.00183,-0.034966
1963-10-31,0.00393,-0.006427,0.012103,0.000801,0.023851,0.01168,0.042256,0.023259,0.023684,0.039358,0.023479,0.005597,0.02729,0.025018,0.010655,-0.004163,0.009374,0.02354,0.053562,0.00604,0.053224,0.017378,-0.003047,0.023983,0.004684
1963-11-30,-0.033527,-0.042129,-0.015792,-0.01068,-0.010331,-0.042481,-0.017521,-0.007176,-0.000995,-0.000989,-0.030091,-0.015577,-0.009294,-0.007721,-0.012276,-0.008694,-0.008963,-0.004974,0.011523,0.035422,-0.012452,0.009844,-0.015591,-0.021342,0.013432
1963-12-31,-0.023342,-0.010139,-0.00868,-0.016105,-0.010743,-0.008818,-0.007381,0.011645,0.008996,0.001024,0.004912,0.014684,0.012986,0.01739,0.004795,-0.001201,0.012054,0.017352,0.031553,0.061607,0.02652,0.022958,0.02304,0.025039,0.021171
1964-01-31,0.039633,0.031047,0.041179,0.041768,0.050132,-0.020255,-0.004816,0.03673,0.014939,0.04225,2.5e-05,0.010134,0.024075,0.039778,0.032028,-0.003073,0.017776,0.011683,0.036249,0.033354,0.030483,0.031756,0.017561,0.020105,0.01609
1964-02-29,0.028892,0.028668,0.0231,0.002733,0.045538,0.015987,0.01744,0.024611,0.021243,0.061028,0.001138,0.028311,0.01772,0.037561,0.040304,0.025247,0.014463,0.030401,0.074798,0.046187,0.018408,0.00497,0.010413,0.040065,0.037719
1964-03-31,0.004741,0.012755,0.023469,0.035183,0.024767,0.023419,0.032293,0.029259,0.056875,0.061696,-0.00582,0.025612,0.044241,0.057257,0.067549,0.0198,0.029154,0.052398,0.06956,0.007328,0.011674,0.007365,0.036845,0.038408,0.001212
1964-04-30,-0.015858,0.026704,-0.004223,-0.00861,-0.008089,-0.009322,-0.038764,0.00551,-0.016101,-0.006337,-0.021913,-0.010653,0.002639,-0.007398,-0.010071,-0.026685,0.006237,0.01681,-0.020471,-0.022916,0.002374,0.014964,0.008352,-0.009266,0.024109
1964-05-31,-0.012497,-0.012803,0.003436,0.003317,0.014885,0.031341,0.004247,0.02928,0.018692,0.037711,-0.005074,0.015458,-0.003118,0.021491,0.025062,0.011197,0.023896,0.012938,0.025952,0.040739,0.020538,0.003038,0.012582,0.042659,0.034
1964-06-30,0.019435,0.004463,0.012411,0.007837,0.011288,0.00896,0.016704,0.016701,0.011294,0.022157,0.010494,0.02347,0.021041,0.025019,0.012302,0.009399,0.012995,0.011578,0.029032,0.031264,0.00991,0.029217,0.00289,0.013685,0.024151
1964-07-31,0.008486,0.039329,0.041111,0.02458,0.048286,0.010575,0.016091,0.03975,0.031195,0.024166,0.028082,0.02778,0.030233,0.032624,0.012393,0.01119,0.034074,0.015851,0.017836,0.037143,0.025986,0.006681,0.039489,0.019116,0.008335
1964-08-31,0.012795,-0.019403,-0.017391,-0.007684,-0.004985,-0.018148,-0.027552,-0.010658,0.003211,-0.018612,-0.02802,-0.005858,0.005788,-0.001744,-0.022634,-0.010522,0.001781,0.010194,-0.0003,-0.024472,-0.012704,-0.015912,-0.000569,-0.010226,-0.027345
1964-09-30,0.046782,0.040421,0.060028,0.027104,0.039145,0.035319,0.028803,0.022743,0.019099,0.047545,0.017639,0.019793,0.03242,0.032407,0.031817,0.029143,0.033473,0.042055,0.046758,0.047781,0.030983,0.011899,0.044656,0.044308,0.069266
1964-10-31,0.017151,0.003802,0.044128,0.022319,0.03372,-0.014773,0.018688,0.020408,0.014238,0.013356,0.032027,0.029135,0.017554,0.013619,0.027171,0.011739,0.01218,0.0135,0.033339,0.034975,0.003402,0.010184,0.003564,0.004,0.036531
1964-11-30,-0.001737,-0.003364,0.008081,0.007264,0.006398,-0.006973,-0.000431,-0.000881,-0.006247,-0.017989,0.016353,0.006678,-0.000159,0.004208,-0.000495,0.005935,0.015118,-0.006213,-0.008419,-0.040604,0.010311,-0.003082,0.014976,-0.012649,-0.048745
1964-12-31,-0.015034,-0.013946,-0.02933,-0.026102,-0.018245,0.014296,0.00421,0.006932,-0.022103,-0.010002,0.00119,0.007573,-0.003628,-0.018137,-0.006755,0.012648,0.00036,-0.016289,-0.009601,-0.014202,0.008348,0.013105,-0.009259,-0.011988,-0.012451
1965-01-31,0.085505,0.058337,0.066725,0.072624,0.087973,0.076431,0.05591,0.056053,0.059963,0.06213,0.051691,0.063111,0.0515,0.060787,0.070468,0.055131,0.041423,0.052195,0.051306,0.074921,0.047345,0.012246,0.03123,0.036101,0.035035
1965-02-28,0.015724,0.010518,0.024748,0.029346,0.034743,0.034448,0.044952,0.032551,0.035047,0.038418,0.038683,0.047403,0.047871,0.028955,0.033695,0.02558,0.035144,0.039907,0.031966,0.017831,0.001808,-0.001772,0.000697,-0.004285,-0.011045
1965-03-31,0.014161,0.027412,0.012255,0.021082,0.031646,0.020178,-0.014027,0.012249,0.013017,0.006284,-0.003024,-0.002248,-0.003602,0.014415,0.006177,-0.006869,-0.003471,-0.004989,0.004651,0.020973,-0.013314,-0.016693,-0.016573,-0.006043,0.002993
1965-04-30,0.033675,0.048988,0.054313,0.0405,0.045147,0.000104,0.048494,0.042142,0.046843,0.050959,0.028044,0.03039,0.042992,0.035215,0.068026,0.025403,0.029446,0.046737,0.044028,0.026217,0.045796,0.018714,0.021224,0.020919,0.04345
1965-05-31,-0.006095,-0.023326,-0.016766,-0.004372,-0.012883,0.012718,-0.00844,-0.01193,-0.003348,-0.021608,-0.005754,0.006146,-0.01458,-0.008688,-0.005808,-0.010608,-0.000259,-0.009417,-0.003656,-0.033104,-0.007468,0.009733,-0.002323,-0.005283,-0.035562
1965-06-30,-0.123935,-0.107927,-0.094059,-0.080164,-0.095999,-0.103894,-0.083754,-0.089587,-0.08339,-0.083157,-0.066787,-0.0938,-0.084726,-0.086007,-0.084469,-0.061531,-0.069431,-0.081599,-0.086845,-0.089923,-0.044234,-0.035843,-0.04968,-0.038509,-0.054362
1965-07-31,0.024486,0.037126,0.032244,0.022882,0.043496,0.037249,0.014032,0.028953,0.037385,0.043078,0.014022,0.045373,0.025089,0.045229,0.046308,0.026142,0.03098,0.042001,0.026425,0.058112,0.015164,-0.000437,0.018858,0.041154,0.050849
1965-08-31,0.027125,0.054811,0.053118,0.038144,0.039742,0.072777,0.041166,0.051524,0.044304,0.041344,0.081781,0.050337,0.076617,0.037098,0.059435,0.04113,0.039986,0.053229,0.030678,0.043524,0.032645,0.013637,0.035125,0.011414,0.024106
1965-09-30,0.031096,0.061921,0.014073,0.0396,0.030754,0.056387,0.03563,0.02992,0.049054,0.029318,0.025776,0.042852,0.024373,0.050618,0.046508,0.038379,0.037322,0.012324,0.029851,0.038155,0.039237,0.023182,0.024771,0.034965,0.03249
1965-10-31,0.059794,0.092561,0.061197,0.056398,0.090714,0.045775,0.060573,0.042799,0.053933,0.053556,0.045151,0.048293,0.057065,0.055293,0.051055,0.043243,0.031596,0.029177,0.044335,0.078798,0.031244,0.002616,0.030363,0.04442,0.054681
1965-11-30,0.035715,0.067572,0.024584,0.079749,0.065595,0.013629,0.055255,0.04266,0.054532,0.040821,0.03512,0.033907,0.053001,0.0284,0.02664,0.035337,0.028093,0.032464,0.011534,0.060885,-0.003186,-0.018478,0.012682,-0.012655,-0.022628
1965-12-31,0.063865,0.072929,0.02326,0.032241,0.049436,0.035736,0.048666,0.039609,0.027738,0.072768,0.027834,0.009837,0.04015,0.015975,0.056305,0.013093,0.012511,0.016218,0.04279,0.048082,0.010107,-0.002269,0.012865,0.027977,0.029518
1966-01-31,0.058872,0.061503,0.085197,0.095691,0.092082,0.070001,0.053574,0.051904,0.048674,0.064133,0.040873,0.019543,0.029382,0.046058,0.050259,0.006632,0.020941,0.049729,0.042412,0.057218,-0.00369,-0.006583,0.017333,0.030542,0.035093
1966-02-28,0.065239,0.061681,0.017188,0.046599,0.061194,0.053221,0.051874,0.019793,-0.002045,0.035573,-0.00143,0.018498,0.043198,0.02505,0.037438,0.022682,-0.015677,0.00687,0.006855,0.035712,-0.013379,-0.022723,-0.017047,-0.019836,-0.020224
1966-03-31,0.004172,-0.004123,-0.022569,-0.008436,-0.010801,-0.0026,-0.01483,-0.024525,-0.036179,-0.025387,-0.017138,-0.047073,-0.02337,-0.033657,-0.037291,0.000813,-0.013921,-0.03327,-0.025494,-0.042296,-0.01475,-0.03442,-0.010935,-0.021393,-0.045123
